VOGAL,F1,F2,AMOSTRA
e,544.7633072708,1709.9922292698,PBSP
a,726.4220851058,1234.4703406702,PBSP
e,598.7933475064,1816.8959073052,PBSP
a,691.8372891666,1349.9279145993,PBSP
a,764.7775187201,1405.1792453397,PBSP
u,415.7095413667,1188.918626232,PBSP
a,584.901817801,1401.8587632176,PBSP
a,657.4272526059,1494.8619540073,PBSP
u,425.2705305754,1132.5212507001,PBSP
a,704.3417105543,1497.6814401427,PBSP
i,420.7761889499,1661.814603719,PBSP
a,647.0837939041,1290.4091710041,PBSP
a,670.0499557895,1385.5837246273,PBSP
a,649.2425788536,1327.4918062349,PBSP
a,709.6828863491,1263.6861865105,PBSP
a,627.2895371659,1312.4699604061,PBSP
e,493.8398565025,1434.2776982412,PBSP
a,638.8901002823,1263.9695784203,PBSP
a,594.3864401597,1192.9888572237,PBSP
u,417.1334935692,1229.6761667937,PBSP
a,637.7552885494,1337.3022471643,PBSP
a,616.4843718044,1572.4638993011,PBSP
a,650.4736486119,1184.8792646327,PBSP
a,581.1750090145,1255.3087441177,PBSP
e,692.5698994345,1626.3201079748,PBSP
a,792.557693826,1229.0684285248,PBSP
a,684.5824331204,1314.0607804564,PBSP
a,683.4104493382,1310.3544255125,PBSP
a,680.7203838711,1596.2684105588,PBSP
a,743.2705833895,1503.9512160812,PBSP
u,405.0899500848,1184.1160128161,PBSP
i,461.6739042334,1847.0368206198,PBSP
e,630.3338703721,1725.1258431777,PBSP
e,592.6298669511,1705.3765283248,PBSP
e,459.5791101929,1871.2939223377,PBSP
